date,montant,categorie,marchand
2025-05-01,67.98,Courses,Carrefour Tours
2025-05-01,3.50,Transport,Vélociti Tours
2025-05-02,29.99,Santé & sport,Basic-Fit Premium
2025-05-03,720.00,Logement & factures,Loyer studio Tours
2025-05-03,13.81,Restos & cafés,Boulangerie Lhuillier
2025-05-03,25.78,Restos & cafés,Uber Eats
2025-05-03,38.01,Espace & astronomie,Observatoire de Tours
2025-05-04,60.78,Courses,Carrefour Tours
2025-05-04,55.19,Loisirs & divers,Cinéma UGC
2025-05-05,19.00,Tech & outils dev,Claude Pro
2025-05-05,3.70,Finance,Trade Republic ordre
2025-05-05,56.97,Loisirs & divers,COS
2025-05-06,24.22,Espace & astronomie,Planétarium de Paris
2025-05-06,17.99,Loisirs & divers,Spotify Famille
2025-05-06,45.92,Loisirs & divers,AirBnB weekend
2025-05-07,22.00,Tech & outils dev,ChatGPT Plus
2025-05-07,7.05,Finance,Bourse Direct ordre
2025-05-08,29.99,Logement & factures,Free Box Pop
2025-05-08,15.99,Logement & factures,Free Mobile
2025-05-08,69.22,Courses,Lidl
2025-05-08,15.04,Restos & cafés,Starbucks Tours
2025-05-08,44.92,Transport,Péages Vinci Autoroutes
2025-05-08,60.25,Santé & sport,Doctolib consultation
2025-05-08,21.90,Santé & sport,Cabinet ostéopathe
2025-05-09,20.91,Restos & cafés,La Pizza Cosy
2025-05-09,7.99,Santé & sport,Strava Premium
2025-05-10,10.00,Tech & outils dev,GitHub Copilot Pro
2025-05-11,8.00,Finance,Substack The Macro Compass
2025-05-12,20.00,Tech & outils dev,Cursor Pro
2025-05-12,49.37,Tech & outils dev,Apple Store accessoires
2025-05-13,27.03,Transport,Total Énergies
2025-05-13,3.96,Finance,Eyrolles livre Bourse
2025-05-13,14.99,Loisirs & divers,Netflix Standard
2025-05-13,31.91,Loisirs & divers,Librairie Le Livre
2025-05-13,55.23,Loisirs & divers,Sephora
2025-05-14,20.00,Tech & outils dev,Vercel Pro
2025-05-15,89.11,Loisirs & divers,COS
2025-05-17,6.99,Espace & astronomie,Nebula
2025-05-18,10.00,Tech & outils dev,Notion Plus
2025-05-18,4.94,Finance,Trade Republic ordre
2025-05-19,5.99,Espace & astronomie,Curiosity Stream
2025-05-21,63.22,Courses,Biocoop
2025-05-21,62.81,Santé & sport,Doctolib consultation
2025-05-21,9.99,Loisirs & divers,Kindle Unlimited
2025-05-22,36.25,Transport,Total Énergies
2025-05-22,15.00,Tech & outils dev,Figma Pro
2025-05-23,16.33,Restos & cafés,Starbucks Tours
2025-05-23,27.07,Transport,Total Énergies
2025-05-24,69.72,Courses,Carrefour Tours
2025-05-24,71.84,Courses,Marché des Halles
2025-05-24,25.80,Restos & cafés,Starbucks Tours
2025-05-24,2.99,Tech & outils dev,iCloud 200 Go
